labels,movie_name,nums,ranking,rate,score,score_num,title
"[['剧情', '爱情']]",,26665352,,3.7,,2018,创业时代‎ (2018)
[['剧情']],,30122630,,6.5,,2018,降龙之白露为霜‎ (2018)
,,,,,27097743,,
,,,,,30331440,,
,,,,,30241701,,
,,,,,27663746,,
,,,,,30243303,,
,,,,,27163772,,
,,,,,27198152,,
,,,,,27036972,,
,,,,,26774173,,
,,,,,30368405,,
,,,,,26855712,,
,,,,,27186591,,
,,,,,26946399,,
,,,,,27083552,,
,,,,,26877848,,
,,,,,26882446,,
,,,,,26638511,,
,,,,,30346836,,
,,,,,27119802,,
,,,,,26923049,,
[['剧情']],,27097743,,6.5,,2018,你迟到的许多年‎ (2018)
"[['剧情', '喜剧', '动画']]",,30243303,,8.9,,2018,剑网3·侠肝义胆沈剑心‎ (2018)
"[['爱情', '奇幻', '古装']]",,27663746,,6.4,,2018,我在大理寺当宠物‎ (2018)
"[['剧情', '喜剧']]",,30331440,,7.4,,2018,好戏一出‎ (2018)
"[['喜剧', '科幻', '古装']]",,30241701,,7.0,,2018,颤抖吧阿部之朵星风云‎ (2018)
"[['犯罪', '悬疑']]",,30368405,,4.3,,2018,追捕者‎ (2018)
[['爱情']],,26855712,,4.2,,2018,再见王沥川‎ (2018)
"[['剧情', '爱情']]",,26774173,,4.9,,2018,凉生，我们可不可以不忧伤‎ (2018)
"[['剧情', '犯罪', '悬疑']]",,27198152,,6.2,,2018,蚀日风暴 蝕日風暴‎ (2018)
[['剧情']],,27036972,,6.5,,2018,橙红年代‎ (2018)
[['剧情']],,26877848,,2.5,,2018,娘道‎ (2018)
"[['奇幻', '古装']]",,26882446,,4.6,,2018,斗破苍穹‎ (2018)
"[['喜剧', '奇幻', '古装']]",,27163772,,6.0,,2018,鸣鸿传‎ (2018)
"[['历史', '动画']]",,30346836,,8.1,,2018,如果历史是一群喵‎ (2018)
[['剧情']],,26638511,,6.9,,2018,远方的家‎ (2018)
"[['剧情', '爱情']]",,27083552,,6.2,,2018,许你浮生若梦‎ (2018)
"[['喜剧', '爱情']]",,26946399,,6.1,,2018,舌害‎ (2018)
"[['剧情', '悬疑', '冒险']]",,27119802,,7.6,,2018,天坑鹰猎‎ (2018)
,,,,,30230181,,
,,,,,30299263,,
,,,,,27108737,,
,,,,,25812730,,
,,,,,27157730,,
,,,,,27054074,,
,,,,,26710256,,
,,,,,26761328,,
,,,,,27005229,,
,,,,,27083735,,
,,,,,27198145,,
,,,,,27197312,,
,,,,,26756260,,
,,,,,27143690,,
[['剧情']],,26923049,,6.7,,2018,再创世纪‎ (2018)
"[['剧情', '犯罪', '惊悚']]",,27186591,,6.3,,2018,陌生人 Strangers‎ (2018)
,,,,,26920281,,
,,,,,27034586,,
,,,,,27126973,,
,,,,,30279911,,
,,,,,26855827,,
,,,,,27089387,,
[['剧情']],,27054074,,5.0,,2018,桃花依旧笑春风‎ (2018)
"[['剧情', '爱情']]",,27108737,,5.1,,2018,月嫂先生‎ (2018)
"[['剧情', '历史', '古装']]",,25812730,,7.4,,2018,如懿传‎ (2018)
