labels,movie_name,nums,ranking,rate,score,score_num,title
,,,,,26685864,,
,,,,,1830590,,
,,,,,30409395,,
,,,,,26435736,,
,,,,,27107131,,
,,,,,27191348,,
,,,,,10477598,,
,,,,,2154390,,
,,,,,2181930,,
,,,,,26979979,,
,,,,,26785790,,
,,,,,1830575,,
,,,,,26430092,,
"[['犯罪', '悬疑']]",,26603847,,9.6,,2015,毛骗 终结篇‎ (2015)
"[['剧情', '历史']]",,26322644,,8.8,,2017,白鹿原‎ (2017)
[['动画']],,27620007,,9.0,,2018,非人哉‎ (2018)
"[['剧情', '动画', '奇幻']]",,27040807,,7.2,,2018,斗罗大陆‎ (2018)
,,,,,2154859,,
,,,,,3114220,,
,,,,,2239292,,
"[['剧情', '战争']]",,2254648,,9.2,,2005,亮剑‎ (2005)
[['剧情']],,26685864,,8.1,,2017,鸡毛飞上天‎ (2017)
"[['剧情', '爱情']]",,20444535,,8.6,,2016,遇见王沥川‎ (2016)
[['脱口秀']],,30412240,,7.9,,2018,吐槽吐槽大会 第三季‎ (2018)
"[['剧情', '爱情', '传记', '历史']]",,1830590,,9.1,,2001,康熙王朝‎ (2001)
"[['剧情', '爱情']]",,26430092,,7.3,,2016,欢乐颂‎ (2016)
"[['喜剧', '家庭']]",,2160565,,8.5,,2005,家有儿女‎ (2005)
[['剧情']],,26785790,,6.5,,2018,沙海‎ (2018)
"[['剧情', '爱情', '家庭', '传记', '历史']]",,2181930,,9.3,,2001,大宅门‎ (2001)
"[['剧情', '喜剧', '动作', '动画', '奇幻']]",,10477598,,9.5,,2011,罗小黑战记‎ (2011)
"[['动作', '动画', '武侠']]",,27191348,,8.2,,2018,画江湖之不良人Ⅲ‎ (2018)
"[['剧情', '历史', '爱情']]",,1830575,,8.9,,1999,雍正王朝‎ (1999)
"[['剧情', '爱情']]",,26979979,,8.8,,2017,一起同过窗 第二季‎ (2017)
[['喜剧']],,2154390,,8.7,,1992,编辑部的故事‎ (1992)
"[['爱情', '奇幻']]",,27107131,,7.1,,2018,结爱·千岁大人的初恋‎ (2018)
[['动画']],,26435736,,8.9,,2015,狐妖小红娘‎ (2015)
"[['剧情', '悬疑', '历史', '古装']]",,2239292,,9.1,,2005,大宋提刑官‎ (2005)
[['动画']],,30409395,,3.9,,2019,领风者‎ (2019)
"[['剧情', '爱情']]",,2154859,,9.0,,2000,大明宫词‎ (2000)
"[['历史', '战争']]",,3114220,,9.2,,2009,大秦帝国之裂变‎ (2009)
,,,,,3227335,,
,,,,,3204594,,
,,,,,26815153,,
,,,,,27008416,,
,,,,,26663086,,
,,,,,25752323,,
,,,,,26801052,,
,,,,,26427831,,
,,,,,26816381,,
,,,,,25975243,,
,,,,,26386688,,
,,,,,27624727,,
,,,,,2210031,,
,,,,,30402130,,
,,,,,30395527,,
,,,,,1718150,,
,,,,,27073039,,
,,,,,2156663,,
,,,,,27005229,,
,,,,,26358696,,
"[['剧情', '武侠', '古装']]",,26663086,,7.9,,2017,射雕英雄传‎ (2017)
"[['剧情', '爱情']]",,27008416,,7.2,,2017,致我们单纯的小美好‎ (2017)
"[['爱情', '奇幻', '武侠', '古装']]",,3227335,,8.0,,2009,仙剑奇侠传三‎ (2009)
"[['剧情', '科幻', '动画']]",,27624727,,9.5,,2014,我的三体‎ (2014)
"[['爱情', '奇幻', '武侠', '古装']]",,2210031,,8.6,,2005,仙剑奇侠传‎ (2005)
"[['剧情', '爱情']]",,26386688,,5.6,,2018,你和我的倾城时光‎ (2018)
"[['剧情', '儿童', '动作', '动画', '冒险', '武侠']]",,3204594,,9.4,,2006,虹猫蓝兔七侠传‎ (2006)
"[['喜剧', '动作', '动画', '奇幻']]",,26815153,,8.7,,2016,一人之下 第一季‎ (2016)
"[['剧情', '爱情']]",,25975243,,6.4,,2017,三生三世十里桃花‎ (2017)
"[['剧情', '爱情']]",,26427831,,6.5,,2016,微微一笑很倾城‎ (2016)
"[['悬疑', '惊悚']]",,26816381,,7.5,,2018,S.C.I.谜案集‎ (2018)
"[['剧情', '古装']]",,26801052,,7.2,,2017,那年花开月正圆‎ (2017)
"[['剧情', '悬疑']]",,25752323,,8.7,,2017,风筝‎ (2017)
"[['剧情', '家庭']]",,26358696,,6.3,,2017,我的前半生‎ (2017)
"[['剧情', '古装']]",,27005229,,7.6,,2018,夜天子‎ (2018)
"[['剧情', '动作', '奇幻', '冒险', '古装']]",,2156663,,9.5,,1986,西游记‎ (1986)
,,,,,2411184,,
,,,,,25800263,,
,,,,,27087788,,
,,,,,25851665,,
,,,,,2157130,,
,,,,,27029233,,
,,,,,27034748,,
,,,,,6894818,,
,,,,,3237723,,
,,,,,4858790,,
,,,,,26956031,,
,,,,,2133474,,
,,,,,4888230,,
,,,,,26322639,,
,,,,,5923466,,
,,,,,26363186,,
,,,,,26859982,,
,,,,,26674019,,
,,,,,2154096,,
,,,,,2373267,,
"[['剧情', '动作', '武侠']]",,1718150,,8.1,,2003,天龙八部‎ (2003)
"[['爱情', '动画', '奇幻']]",,30395527,,7.8,,2018,萌妻食神‎ (2018)
[['剧情']],,27073039,,7.8,,2018,正阳门下小女人‎ (2018)
"[['喜剧', '爱情', '动画', '古装']]",,30402130,,7.4,,2018,通灵妃‎ (2018)
"[['爱情', '家庭']]",,2157130,,8.3,,2003,金粉世家‎ (2003)
"[['剧情', '战争', '古装']]",,27087788,,8.4,,2017,虎啸龙吟‎ (2017)
[['剧情']],,27029233,,7.6,,2018,东方华尔街‎ (2018)
"[['剧情', '历史', '古装']]",,2411184,,9.0,,2005,汉武大帝‎ (2005)
"[['喜剧', '动作', '动画', '奇幻']]",,27034748,,9.2,,2017,一人之下 第二季‎ (2017)
"[['剧情', '惊悚', '恐怖', '鬼怪']]",,25800263,,8.3,,2014,灵魂摆渡‎ (2014)
"[['剧情', '爱情']]",,25851665,,8.4,,2015,平凡的世界‎ (2015)
,,,,,26752700,,
,,,,,10793510,,
,,,,,26298756,,
,,,,,26787123,,
,,,,,4914642,,
,,,,,2248757,,
,,,,,26859991,,
,,,,,26951951,,
,,,,,26802975,,
,,,,,25812420,,
,,,,,26184588,,
,,,,,27663745,,
,,,,,26743573,,
,,,,,30272798,,
,,,,,3153641,,
,,,,,2155164,,
,,,,,27195038,,
,,,,,1478168,,
,,,,,2347485,,
[['剧情']],,2373267,,9.0,,2008,闯关东‎ (2008)
[['剧情']],,2154096,,9.3,,2006,士兵突击‎ (2006)
,,,,,27043642,,
"[['剧情', '爱情', '古装']]",,26363186,,5.0,,2017,楚乔传‎ (2017)
"[['剧情', '悬疑']]",,26674019,,7.0,,2016,法医秦明‎ (2016)
"[['剧情', '悬疑']]",,26859982,,5.2,,2017,鬼吹灯之黄皮子坟‎ (2017)
"[['剧情', '历史']]",,5923466,,8.5,,2017,大秦帝国之崛起‎ (2017)
"[['犯罪', '悬疑']]",,4888230,,8.4,,2010,毛骗 第一季‎ (2010)
[['喜剧']],,2133474,,9.2,,2007,地下交通站‎ (2007)
"[['剧情', '历史', '古装']]",,4858790,,9.1,,2013,大秦帝国之纵横‎ (2013)
"[['剧情', '爱情', '古装']]",,26956031,,6.1,,2018,天乩之白蛇传说‎ (2018)
"[['剧情', '历史', '战争']]",,3237723,,7.7,,2010,三国‎ (2010)
[['爱情']],,26787123,,6.9,,2018,原来你还在这里‎ (2018)
"[['犯罪', '悬疑']]",,6894818,,9.4,,2011,毛骗 第二季‎ (2011)
"[['剧情', '喜剧', '悬疑']]",,26298756,,8.3,,2015,无心法师‎ (2015)
"[['喜剧', '爱情']]",,26752700,,3.0,,2017,漂亮的李慧珍‎ (2017)
"[['剧情', '历史', '动画', '冒险', '武侠']]",,26184588,,8.9,,2016,天行九歌‎ (2016)
"[['剧情', '爱情']]",,27663745,,6.2,,2018,喜欢你时风好甜‎ (2018)
"[['剧情', '儿童', '古装']]",,26951951,,9.1,,2017,小戏骨：红楼梦之刘姥姥进大观园‎ (2017)
"[['剧情', '犯罪']]",,26802975,,7.3,,2016,余罪 第二季‎ (2016)
"[['喜剧', '爱情']]",,10793510,,7.2,,2014,爱情公寓4‎ (2014)
"[['剧情', '爱情', '奇幻', '古装']]",,25812420,,6.1,,2015,花千骨‎ (2015)
"[['剧情', '动画']]",,26859991,,8.2,,2017,全职高手 第一季‎ (2017)
[['剧情']],,1478168,,9.2,,1990,围城‎ (1990)
"[['剧情', '历史']]",,27043642,,7.9,,2018,面具‎ (2018)
"[['爱情', '古装']]",,27195038,,6.6,,2018,双世宠妃Ⅱ‎ (2018)
"[['剧情', '历史', '战争']]",,3153641,,9.0,,2009,人间正道是沧桑‎ (2009)
"[['剧情', '历史']]",,2155164,,9.2,,2006,贞观之治‎ (2006)
"[['剧情', '科幻', '动画']]",,30272798,,9.6,,2016,我的三体·罗辑传‎ (2016)
,,,,,3904560,,
,,,,,27088995,,
,,,,,30351548,,
,,,,,27172912,,
,,,,,26868416,,
,,,,,2229576,,
"[['剧情', '爱情']]",,26743573,,5.3,,2017,欢乐颂2‎ (2017)
,,,,,5384548,,
,,,,,26861629,,
,,,,,4707205,,
,,,,,2157131,,
,,,,,26392671,,
,,,,,6312211,,
,,,,,26322999,,
,,,,,26939218,,
,,,,,25835480,,
,,,,,24827545,,
,,,,,3025311,,
,,,,,27624636,,
